num,slug,sk,code,name,time_val,unit,skill,abnormal,grossWeight,wgt,spawn,cycle_val,standard,material,raw,raw_mfr,one_box,pallet,tape,box,bag,etc,keyword
1,0049,ZZ0049,200305,M樽角　3K,90,10,0.39,20,180ｇ,180 ±5,1,23.3,21.4,PE,PE 1608J,20,10,1000,"","",0.02 X 500 X 1000,3Kのシール貼り有り,"ZZ0049,200305,M樽角3K,Mたるかく3K,Mタルカク3K,Mtarukaku3K,Mtarukaku3K,Mtarukaku3K"
2,0054,ZZ0054,700402,M樽4K-2  蓋,未登録,未登録,未登録,未登録,82ｇ,82 ±3,1,17.9,18.7,PE,PE 1300J,13,"","","","",0.03 X 420 X 800,"","ZZ0054,700402,M樽4K2蓋,Mたる4K2ふた,Mタル4K2フタ,Mtaru4K2futa,Mtaru4K2futa,Mtaru4K2futa,未登録"
3,0059,ZZ0059,700708,M樽角　3K　蓋（爪有り）,63,10,0.28,0,78ｇ,78 ±3,1,22.4,18,PE,PE 1608J,18,100,"",ｸﾗﾌﾄHH,M-07-2,"",爪無しは700705,"ZZ0059,700708,M樽角3K蓋(爪有り),Mたるかく3Kふた(つめあり),Mタルカク3Kフタ(ツメアリ),Mtarukaku3Kfuta(tsumeari),Mtarukaku3Kfuta(tumeari),Mtarukaku3Kfuta(tsumeari)"
4,0062,ZZ0062,400103,M樽土産　0.5K-2,55,10,0.45,0,70ｇ,35 ±2,2,24.7,25,PE,1300J(87.5%) / 202 LDPE(12.5%),14 / 23,200,2400,ｸﾗﾌﾄHH,Ｍ－２６(Mﾀﾙ土産0.5K-1･2),"","","ZZ0062,400103,M樽土産05K2,Mたるみやげ05K2,Mタルミヤゲ05K2,Mtarumiyage05K2,Mtarumiyage05K2,Mtarumiyage05K2"
5,0064,ZZ0064,700102,M樽土産　0.5K-2 蓋,70,10,0.62,0,26ｇ,26 ±3(2個),2,22.7,23,PE,LDPE=95 / L-LDPE=5,22,200,1800,OPP透明HH,Mﾀﾙ土産0.5K-1･2 ﾌﾀ,0.03 X 850 X 900,"","ZZ0064,700102,M樽土産05K2蓋,Mたるみやげ05K2ふた,Mタルミヤゲ05K2フタ,Mtarumiyage05K2futa,Mtarumiyage05K2futa,Mtarumiyage05K2futa"
6,0067,ZZ0067,400105,M樽土産 1K-2 本体,72,10,0.5,10,132ｇ,66 ±2,2,28.8,21,PE,PE-4 #2010(93.75%) / PE-6 M75(6.25%),1.3 / 50,200,2400,OPP透明HH,ﾀﾞﾝﾎﾞｰﾙ　M-22(土産１Ｋ－２本体),HD 0.01 X 1000 X 1400,金型にでかいランナーがあるのですぐ詰まる,"ZZ0067,400105,M樽土産1K2本体,Mたるみやげ1K2ほんたい,Mタルミヤゲ1K2ホンタイ,Mtarumiyage1K2hontai,Mtarumiyage1K2hontai,Mtarumiyage1K2hontai"
7,0068,ZZ0068,700103,M樽土産 1K-2 蓋,85,20,0.36,40,46ｇ,23 ±3,2,23.8,26,PE,202 LDPE,23,200,7200,OPP透明HH,ﾀﾞﾝﾎﾞｰﾙ　M-23(土産１Ｋ－２フタ),0.03 X 850 X 900,"","ZZ0068,700103,M樽土産1K2蓋,Mたるみやげ1K2ふた,Mタルミヤゲ1K2フタ,Mtarumiyage1K2futa,Mtarumiyage1K2futa,Mtarumiyage1K2futa"
8,0246,ZZ0246,804647,サヤカンキャップ25,120,50,0.21,0,22.8ｇ,4.5 ±0.5,4,"",45,PE,PE M75,50,"","","","",0.03 X 1300 X 1100,"","ZZ0246,804647,サヤカンキャップ25,さやかんきゃっぷ25,サヤカンキャップ25,sayakankyappu25,sayakankyappu25,sayakankyappu25"
9,0248,ZZ0248,804649,サヤカンキャップ36,120,50,0.21,0,41.4ｇ,9 ±0.5,4,"",46.7,PE,PE M75,50,"","","","",0.03 X 1300 X 1100,"","ZZ0248,804649,サヤカンキャップ36,さやかんきゃっぷ36,サヤカンキャップ36,sayakankyappu36,sayakankyappu36,sayakankyappu36"
10,0259,ZZ0259,804688,クリップ,未登録,未登録,未登録,未登録,6.58ｇ,1.17 ±0.1,4,15.4,17.5,PP,PP BC4ASW,5,"","","","",0.03 X 1300 X 1100,"","ZZ0259,804688,クリップ,くりっぷ,クリップ,kurippu,kurippu,kurippu,未登録"
