[2026/09/01 00:00:43] 198.235.24.140 "GET /" 200 "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
[2026/09/01 01:10:40] 154.58.229.20 "GET /settings.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 01:10:40] 154.58.229.20 "GET /local_settings.py" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /api/config" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /.npmrc" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /firebase-adminsdk.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /swagger.json" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /env.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /config.js" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /key.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /actuator/heapdump" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /terraform.tfvars" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:10:41] 154.58.229.20 "GET /awsconfiguration.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:10:41] 154.58.229.20 "POST /graphql" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 01:47:28] 66.132.172.132 "GET /" 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/09/01 01:47:29] 66.132.172.132 "GET /favicon.ico" 200 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/09/01 01:47:41] 66.132.172.132 "GET /login" 404 "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /env.js" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /.well-known/security.txt" 404 "CCBot/2.0 (https://commoncrawl.org/faq/)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /api/env" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /firebase-adminsdk.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /service_account.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /openapi.json" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /.npmrc" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /token.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /appsettings.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /firebase.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /sitemap.xml" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /web.config" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /aws-exports.js" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /.netrc" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 03:11:00] 154.58.229.20 "GET /robots.txt" 404 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
[2026/09/01 03:29:16] 2400:2200:9d9:b573:3114:367d:86a1:b846 "GET /item/200137" 200 "BackgroundShortcutRunner/4711 CFNetwork/3860.700.1 Darwin/25.6.0"
[2026/09/01 04:10:19] 240a:61:51d3:fc6c:74e2:fb68:46d2:97fb "GET /item/10053" 200 "BackgroundShortcutRunner/4711 CFNetwork/3860.700.1 Darwin/25.6.0"
[2026/09/01 05:11:47] 154.58.229.20 "GET /" 200 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:47] 154.58.229.20 "GET /.well-known/security.txt" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /keys.json" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /env.js" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /application.yml" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /config.yml" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /service-account.json" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /actuator/env" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /settings.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /swagger.json" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "POST /graphql" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /netlify.toml" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /vercel.json" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /.netrc" 404 "Mozilla/5.0 (compatible; DeepSeekBot/1.0; +https://www.deepseek.com/bot)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /openapi.json" 404 "Mozilla/5.0 (compatible; xAI-SearchBot/1.0; +https://x.ai)"
[2026/09/01 05:11:48] 154.58.229.20 "GET /token.json" 404 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
[2026/09/01 06:43:15] 2400:2200:9d9:b573:3114:367d:86a1:b846 "GET /ms" 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"
[2026/09/01 06:43:17] 2400:2200:9d9:b573:3114:367d:86a1:b846 "GET /ms/manifest.json" 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"
[2026/09/01 06:43:18] 2400:2200:9d9:b573:3114:367d:86a1:b846 "GET /shift/20260831" 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 26_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6 Mobile/15E148 Safari/604.1"
